feature_id,text_id,duplicate_group,source,split,baseline_active,direction,fraction,sign,dose,interaction_norm,normalization_only_norm,pre_norm_interaction_norm,beyond_gain_norm,max_constraint_error,combined_nll_change,context_nll_change
28027,831,831,fineweb-edu-sample,check,True,leading_pc,0.005,-1,-0.1,0.0029095959964947275,3.7697287323097935e-06,0.46203488812096266,0.0014598860926129142,1.4684205185133692e-08,0.000133514404296875,0.000141143798828125
28027,831,831,fineweb-edu-sample,check,True,leading_pc,0.005,-1,0.1,0.0028713865134941626,2.9873762336115045e-06,0.45905954374454727,0.0016026999964892737,7.094574314221024e-08,0.0001468658447265625,0.000141143798828125
28027,831,831,fineweb-edu-sample,check,True,leading_pc,0.005,1,-0.1,0.0029352371559930677,2.1589720578521293e-06,0.48284767062900347,0.0011634752048041716,2.8123848139216534e-08,-0.0001239776611328125,-0.0001201629638671875
28027,831,831,fineweb-edu-sample,check,True,leading_pc,0.005,1,0.1,0.0028952625964102866,2.870939869592737e-06,0.4745192304802892,0.001332707231500941,7.098984118878941e-08,-0.00011444091796875,-0.0001201629638671875
28027,831,831,fineweb-edu-sample,check,True,leading_pc,0.01,-1,-0.1,0.005704767390631579,6.476916173556387e-06,0.9067072742359792,0.003032448302422088,4.249275153966892e-09,0.00030517578125,0.00031280517578125
28027,831,831,fineweb-edu-sample,check,True,leading_pc,0.01,-1,0.1,0.00563208595467929,4.696301365755131e-06,0.8999124346336541,0.0032545670481910543,6.918435177387428e-09,0.0003204345703125,0.00031280517578125
28027,831,831,fineweb-edu-sample,check,True,leading_pc,0.01,1,-0.1,0.005947889357010357,4.5362228370762935e-06,0.9900793108394592,0.0019367473043158,3.676924453326703e-08,-0.0002288818359375,-0.000225067138671875
28027,831,831,fineweb-edu-sample,check,True,leading_pc,0.01,1,0.1,0.0058177010130884416,5.488807884798688e-06,0.9686422965913861,0.002278424497697473,7.097600854558541e-08,-0.00022125244140625,-0.000225067138671875
28027,831,831,fineweb-edu-sample,check,True,shuffled_labels,0.005,-1,-0.1,0.0012156060887244075,7.0121007775558195e-06,0.2993426972583865,0.0008973248768665947,6.799211638153224e-09,2.09808349609375e-05,2.6702880859375e-05
28027,831,831,fineweb-edu-sample,check,True,shuffled_labels,0.005,-1,0.1,0.0011084207694877638,6.9510363278929e-06,0.2755316599757063,0.000876199104085291,7.09369641219007e-08,3.0517578125e-05,2.6702880859375e-05
28027,831,831,fineweb-edu-sample,check,True,shuffled_labels,0.005,1,-0.1,0.0011598706117387882,6.877043295791605e-06,0.2829899890228625,0.0008628442801713709,7.094656486356307e-08,-2.86102294921875e-05,-2.47955322265625e-05
28027,831,831,fineweb-edu-sample,check,True,shuffled_labels,0.005,1,0.1,0.0010386328800926043,7.696157642158972e-06,0.259884615226329,0.0008297491805903529,3.4620751820924056e-08,-1.9073486328125e-05,-2.47955322265625e-05
28027,831,831,fineweb-edu-sample,check,True,shuffled_labels,0.01,-1,-0.1,0.002478466495000777,1.349752412292305e-05,0.6104267592838031,0.0018067536463156114,7.096270115783428e-08,4.9591064453125e-05,5.53131103515625e-05
28027,831,831,fineweb-edu-sample,check,True,shuffled_labels,0.01,-1,0.1,0.0022954959120543026,1.322524857364527e-05,0.5662147370849477,0.001789549906274234,1.3991949376901403e-08,5.91278076171875e-05,5.53131103515625e-05
28027,831,831,fineweb-edu-sample,check,True,shuffled_labels,0.01,1,-0.1,0.002214369333522421,1.2048987167828825e-05,0.5487041706736027,0.0016518311564412416,7.092719867875768e-08,-4.9591064453125e-05,-4.38690185546875e-05
28027,831,831,fineweb-edu-sample,check,True,shuffled_labels,0.01,1,0.1,0.002040505336114733,1.5155997348130052e-05,0.5063730939767679,0.0016278179938227287,2.673329579927497e-08,-3.814697265625e-05,-4.38690185546875e-05
2966,1007,1007,fineweb-edu-sample,check,True,learned,0.005,-1,-0.1,6.015145299432219e-05,6.7771293657073475e-06,0.03576915328261562,2.2003858556657442e-05,1.7761392721344316e-07,-0.06428146362304688,-0.06301307678222656
2966,1007,1007,fineweb-edu-sample,check,True,learned,0.005,-1,0.1,5.848014579617302e-05,8.436110502698007e-06,0.03531278095302388,1.807004450721817e-05,1.5731375533386268e-07,-0.06173896789550781,-0.06301307678222656
2966,1007,1007,fineweb-edu-sample,check,True,learned,0.005,1,-0.1,5.8293220699315484e-05,5.820539291254855e-06,0.03609340684075322,2.1717559856588737e-05,2.3929761185672046e-07,0.06356239318847656,0.06481552124023438
2966,1007,1007,fineweb-edu-sample,check,True,learned,0.005,1,0.1,6.428111545259507e-05,6.743495761743045e-06,0.036209283274505344,1.986990775476393e-05,1.4892759358113562e-07,0.06607437133789062,0.06481552124023438
2966,1007,1007,fineweb-edu-sample,check,True,learned,0.01,-1,-0.1,0.00011541035442049615,1.5050615408026342e-05,0.07168188689389055,3.777790248622955e-05,6.784190892022073e-08,-0.12488555908203125,-0.12358474731445312
2966,1007,1007,fineweb-edu-sample,check,True,learned,0.01,-1,0.1,0.0001168367808208756,1.2839233415447483e-05,0.07082679533704409,4.2526284984100804e-05,4.2424884420469935e-08,-0.12228584289550781,-0.12358474731445312
2966,1007,1007,fineweb-edu-sample,check,True,learned,0.01,1,-0.1,0.00012121046742109315,1.322524857364527e-05,0.07230090233917706,3.9579668124260285e-05,1.7246939578967726e-07,0.12957191467285156,0.1308422088623047
2966,1007,1007,fineweb-edu-sample,check,True,learned,0.01,1,0.1,0.0001139830330129282,1.3154138778814051e-05,0.07191215881447077,3.476869795745301e-05,1.7164612430100134e-07,0.1321125030517578,0.1308422088623047
2966,1007,1007,fineweb-edu-sample,check,True,random_0,0.005,-1,-0.1,3.072918603080373e-05,1.0990553447357282e-05,0.02101666529466633,2.570657993353009e-05,2.3382357961951198e-07,-0.02980804443359375,-0.028455734252929688
2966,1007,1007,fineweb-edu-sample,check,True,random_0,0.005,-1,0.1,3.612965915587352e-05,7.809800793723678e-06,0.021800148147333352,3.507310924578073e-05,1.4163277964458874e-07,-0.027093887329101562,-0.028455734252929688
2966,1007,1007,fineweb-edu-sample,check,True,random_0,0.005,1,-0.1,4.077445664678945e-05,8.792442757885825e-06,0.02558276032966891,3.845532578836058e-05,1.8376426810754155e-07,0.027238845825195312,0.02838897705078125
