n_low,n_high,documents_low,documents_high,assignment_rate,document_p,document_null_mean,document_null_p95,document_movable_fraction,token_identity_p,token_identity_null_mean,token_identity_null_p95,token_identity_movable_fraction,js_ci_low,js_ci_high,js_bootstrap_se,js_bootstrap_bias,js_bootstrap_percentile_low,js_bootstrap_percentile_high,bootstrap_valid,null_excess,js_bits,neighbor_jaccard,shared_rank_spearman,shared_neighbors,cosine,conditional_l1,conditional_mass_change,status,partner_count,feature_id,candidate_id,role,discovery_delta_bic,document_q_bh,document_q_by,token_identity_q_bh,token_identity_q_by
1093,555,368,210,0.7799337434926644,0.0005,0.060661815522142774,0.06388231198281305,0.22694174757281554,0.0005,0.06265239898003915,0.0654179251419489,0.3598300970873786,0.06481530161054097,0.09185639612572935,0.006898238396731726,0.02632459372484748,0.09250938627429602,0.11900973514330744,300,0.017674033345992386,0.07833584886813516,0.2903225806451613,0.25,9,0.8804328939014006,25.367277432968194,2.180511527080604,ok,2311,1702,1702,candidate,919.6082577224101,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
2876,2134,460,413,0.6376479572355861,0.0005,0.02158241835685923,0.02234120069998012,0.3506986027944112,0.0005,0.03213569094785774,0.03236030586939948,0.03173652694610778,0.03001716506677832,0.03556706128496758,0.001415789851578893,0.010452853101456591,0.040683906884467665,0.04599421550424361,300,0.011209694819013724,0.03279211317587295,0.7391304347826086,0.6866954080402413,17,0.965037786992405,24.36020493421953,7.970450602406515,ok,5062,380,380,candidate,903.2803776013316,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
1555,919,438,285,0.6677462887989204,0.0005,0.0551912857142209,0.056991669011334206,0.2425222312045271,0.0005,0.04624248083777826,0.047959624146392994,0.41673403395311237,0.056697616571813776,0.07740485690210619,0.0052824592679317365,0.022961624009559548,0.08118013027515442,0.10050526092522423,300,0.011859951022739082,0.06705123673695998,0.48148148148148145,0.5199454712472894,13,0.9076553549535309,24.344817692934793,3.844058094741598,ok,3195,718,718,candidate,895.1960252826921,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
1258,381,365,125,0.7838354854136776,0.0005,0.09170060404271081,0.095035897077574,0.14093959731543623,0.2605,0.10641535624620561,0.10758633629421079,0.007931665649786455,0.08597494284505236,0.12826718015904093,0.01078883604948688,0.02687035927559181,0.11534247316881498,0.15742837777612834,300,0.015420457459335832,0.10712106150204664,0.5384615384615384,0.4466449347407661,14,0.8792188037043606,40.76874303669116,5.426384003271465,ok,2527,13822,13822,candidate,875.4009981637689,0.0005454545454545455,0.0020596135515019128,0.2841818181818182,1.0
575,432,281,170,0.959047619047619,0.0005,0.23956774672743178,0.24807937846039035,0.12611717974180736,0.0005,0.271875547875567,0.27536796439364813,0.18867924528301888,0.24966557820562085,0.31025273437244116,0.015455907185413342,0.027948968702938948,0.2803592450413196,0.3405029971787748,300,0.04039140956159923,0.279959156289031,0.2903225806451613,-0.25104822262671694,9,0.5965154868255443,42.33906199677939,-10.508216586151377,ok,1526,1204,1204,candidate,837.3146521568669,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
1104,540,401,235,0.7280779450841453,0.0005,0.06890678662041003,0.07217893163275099,0.12895377128953772,0.0395,0.08335834827773221,0.08433398843195541,0.02068126520681265,0.0695354584172069,0.0992657768558036,0.007584264907805281,0.024825497001708274,0.09595626170108199,0.12395459999062952,300,0.015493831016095222,0.08440061763650525,0.48148148148148145,0.41208791208791207,13,0.8790701957072979,35.96254025764895,2.491485507246381,ok,2645,12206,12206,candidate,833.3963359656664,0.0005454545454545455,0.0020596135515019128,0.0474,0.1789804176255162
637,480,246,106,0.7169448010269577,0.0005,0.07142364686651716,0.07454989751625792,0.22291853178155774,0.0005,0.08108712929031862,0.08290353869719669,0.09221128021486123,0.06997672800870836,0.10223132511042113,0.008228213546355298,0.02771560456040799,0.0991675786470443,0.13089169995721475,300,0.014680379693047585,0.08610402655956474,0.42857142857142855,0.386643830856912,12,0.8775387441128776,30.467870225013083,10.171951857666144,ok,1868,1844,1844,candidate,800.1540329092907,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
1997,1149,416,274,0.6364555937689662,0.0005,0.030887285444417645,0.031968777027743915,0.3102352193261284,0.0005,0.034709403045593404,0.035512132127728586,0.19739351557533374,0.03750984729423305,0.048791204172286044,0.0028778971627686214,0.01788108043120422,0.05614491970731201,0.06756670086359484,300,0.0122632402888419,0.043150525733259545,0.48148148148148145,0.5054945054945055,13,0.9593290048556716,22.843996630280493,2.7680062304074085,ok,3905,292,292,candidate,776.7595456039599,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
219,869,130,312,0.9021558872305141,0.0005,0.13806556440377235,0.14666811781958744,0.09558823529411764,0.0005,0.039115912479527566,0.043933568514654124,0.9319852941176471,0.15609145471465968,0.20048830977178572,0.011325728330899494,0.03447226841163872,0.19166365837289417,0.23656546283552113,300,0.04022431783945035,0.1782898822432227,0.2903225806451613,0.5666666666666667,9,0.7407033386451074,26.46298952766787,-1.7686313455344163,ok,1034,1047,1047,candidate,776.0327681291046,0.0005454545454545455,0.0020596135515019128,0.0006666666666666666,0.002517305451835671
694,256,286,81,0.8050847457627118,0.0005,0.07387055820209679,0.07665100762300237,0.14421052631578948,0.183,0.08110715899890342,0.08132166684179139,0.010526315789473684,0.061311338190145656,0.10119038281779714,0.010173225670319258,0.030609881779068274,0.09449059384902321,0.1304041767572513,300,0.007380302301874614,0.0812508605039714,0.42857142857142855,0.4238185133446995,12,0.8939100804619002,35.81001215778098,9.727586905619596,ok,1630,3234,3234,candidate,761.8937394669722,0.0005454545454545455,0.0020596135515019128,0.20914285714285713,0.7897146817473047
