feature_id,n_points,fit_status,converged,is_bimodal_candidate,gmm_random_seed,gmm_n_init,activation_population,activation_storage_mode,rank_censored,log_mean_low,log_mean_high,log_variance_low,log_variance_high,log_std_low,log_std_high,component_weight_low,component_weight_high,minimum_component_weight,mode_separation,n_iter_1,n_iter_2,bic_1,bic_2,delta_bic,bimodality_score,activation_min,activation_p50,activation_p95,activation_max,candidate_delta_bic_threshold,candidate_min_component_weight,candidate_min_separation,n_documents,discovery_variance_log1p,selected_candidate
363,870,ok,True,True,20260907,5,analysis_activations,positive,False,4.224867954008164,5.697860939030625,0.16896380735250885,0.4118028131309156,0.4110520737723006,0.6417186401616487,0.6173154715095841,0.38268452849041595,0.38268452849041595,2.733473404248798,2,4,2260.126360428266,2078.9486800153686,181.1776804128972,181.1776804128972,37.45978546142578,98.16049575805664,678.3391632080077,1202.8900146484375,10.0,0.1,2.0,193,0.7753501,False
373,4877,ok,True,True,20260907,5,analysis_activations,positive,False,4.9110940541215955,6.284217422484243,0.25127752001647896,0.20834920422640418,0.5012758921157878,0.4564528499488246,0.5009858713252663,0.49901412867473377,0.49901412867473377,2.86432253620631,2,4,12126.29843008427,11552.663224856673,573.6352052275979,573.6352052275979,53.69573974609375,273.8472900390625,948.6705566406248,1296.3453369140625,10.0,0.1,2.0,405,0.7013632,False
380,8614,ok,True,True,20260907,5,analysis_activations,positive,False,4.448494396228825,5.2146339275176485,0.06997567073220996,0.13963170223283197,0.2645291491163308,0.37367325597750767,0.5631303149417937,0.4368696850582064,0.4368696850582064,2.3665712923891085,2,5,12341.290235365414,11438.009857764082,903.2803776013316,903.2803776013316,55.06060791015625,111.31575775146484,296.53675842285156,631.0303344726562,10.0,0.1,2.0,482,0.24483696,True
434,2288,ok,True,True,20260907,5,analysis_activations,positive,False,4.992423325676453,6.353113874839174,0.3682104282580904,0.1978770881295461,0.6068034510927657,0.4448337758416576,0.3394994613146152,0.6605005386853848,0.3394994613146152,2.5575997294220456,2,4,5595.240612422023,5254.058381631345,341.18223079067866,341.18223079067866,43.71197509765625,417.84832763671875,1064.9662231445316,1722.043212890625,10.0,0.1,2.0,437,0.671172,False
450,5806,ok,True,True,20260907,5,analysis_activations,positive,False,4.647679410397277,5.628231739214848,0.12958378334322043,0.1806018495456206,0.3599774761609682,0.42497276329856787,0.48576065616468384,0.5142393438353161,0.48576065616468384,2.4898600336445464,2,4,11115.624041877732,10770.345203030687,345.27883884704534,345.27883884704534,54.957855224609375,170.17477416992188,499.14097595214844,1024.4658203125,10.0,0.1,2.0,468,0.3960627,False
458,693,ok,True,True,20260907,5,analysis_activations,positive,False,4.453578993449546,5.527624954438861,0.15671654579760502,0.19036813528024824,0.39587440659583567,0.436311970131749,0.4713035968343341,0.528696403165666,0.4713035968343341,2.5782209974645665,2,4,1444.529052090722,1416.1176404960459,28.41141159467611,28.41141159467611,43.723663330078125,150.463623046875,455.031103515625,710.8060913085938,10.0,0.1,2.0,142,0.4626183,False
462,746,ok,True,False,20260907,5,analysis_activations,positive,False,4.070643693721499,4.765112038719523,0.06155597316930818,0.2013626349986368,0.24810476248816382,0.4487344816243084,0.6139736884500505,0.3860263115499496,0.3860263115499496,1.915388123533338,2,5,1033.358126899397,922.4933029526322,110.86482394676466,110.86482394676466,39.03173828125,69.51394653320312,194.0095977783203,557.41357421875,10.0,0.1,2.0,268,0.23013951,False
479,8243,ok,True,True,20260907,5,analysis_activations,positive,False,4.649139210512431,5.595409986839263,0.12208784152463951,0.1777636690048164,0.34941070608188224,0.4216202900772405,0.506899186350065,0.4931008136499349,0.4931008136499349,2.443865527167003,2,4,15289.442993566763,14782.212212857941,507.23078070882184,507.23078070882184,56.328399658203125,161.39950561523438,473.3173156738281,944.70068359375,10.0,0.1,2.0,482,0.37340003,False
482,874,ok,True,False,20260907,5,analysis_activations,positive,False,4.184157455636202,4.367399375303296,0.003693617243287825,0.015986319226384684,0.06077513671961442,0.12643701683599104,0.6759736709565988,0.3240263290434013,0.3240263290434013,1.8472598229346564,2,5,-1174.9227019548548,-1389.1896629325997,214.26696097774493,214.26696097774493,59.43641662597656,66.62477111816406,87.62201461791992,127.66363525390625,10.0,0.1,2.0,327,0.015047612,False
485,6464,ok,True,True,20260907,5,analysis_activations,positive,False,4.569233731017135,5.469812045784508,0.09061916559495725,0.24663025122162838,0.3010301738945072,0.49661881883556164,0.6900441767343217,0.3099558232656783,0.3099558232656783,2.1931123444625342,2,4,10841.795824280847,9542.935703414878,1298.8601208659693,1298.8601208659693,58.6805419921875,112.745849609375,406.47863159179684,985.90087890625,10.0,0.1,2.0,487,0.31249157,True
