feature_id,direction,calibration,fit_documents,fit_digit,fit_word,mean,low,high,documents,leave_one_out_min,leave_one_out_max
1645,random_1,pooled,16,0.9969137609004974,-0.21179579198360443,2.8740579860273696,-0.3389111189544893,5.796430658498632,16,2.0167912256393445,4.158826133169336
1645,random_1,fineweb-edu-sample,8,1.7855912446975708,-0.8048638701438904,3.9956584945710665,-7.498387461673386,13.324837385943896,8,0.8315704159433963,8.94334223686122
1645,random_1,wikimedia-en,8,0.20823627710342407,0.3812722861766815,-1.6777310161211778,-4.75986632872163,0.20731527778719588,8,-2.081215026994236,-0.20630471659086322
1645,random_2,pooled,16,0.685863196849823,-0.6583612412214279,-3.7663399933638657,-10.07401547178024,0.3293317094640163,16,-4.3503591123667755,-1.050391983070549
1645,random_2,fineweb-edu-sample,8,0.5979016423225403,-0.012561678886413574,-1.2825698584573166,-2.6585041840554453,-0.11168377719861368,8,-1.713664558141069,-0.7295345678155163
1645,random_2,wikimedia-en,8,0.7738247513771057,-1.3041608035564423,-13.282108474212123,-33.085184293776116,-0.09521567420484038,8,-15.624497611367575,-3.7058741856124664
1645,shuffled_labels,pooled,16,-2.2892840206623077,2.2893883287906647,4.596215113006341,-2.8606951554576923,13.308081269515652,16,1.4165977573467785,6.30284758081264
1645,shuffled_labels,fineweb-edu-sample,8,-1.679345965385437,1.696750521659851,0.19448659244192434,-4.900838871192687,4.338474597187503,8,-0.6594935287714959,2.29972578424942
1645,shuffled_labels,wikimedia-en,8,-2.8992220759391785,2.8820261359214783,11.26035443807516,-4.9725105273665235,28.896013257861245,8,3.70216361206266,16.19374993028222
2966,approx_spectrum_matched,pooled,16,-0.06210245192050934,-0.05782395601272583,0.010069364552237059,-0.004533858345354136,0.024551405487793772,16,0.006180120671814282,0.014832921880689187
2966,approx_spectrum_matched,fineweb-edu-sample,8,-0.09665638208389282,0.07837265729904175,-0.04890974875104703,-0.08168502957373036,-0.014876922814488516,8,-0.058926919558174466,-0.03971385908225449
2966,approx_spectrum_matched,wikimedia-en,8,-0.027548521757125854,-0.1940205693244934,0.02562617715945459,-0.0353861149202106,0.08294106498898939,8,0.0054893830324563376,0.0467042088703581
2966,leading_pc,pooled,16,0.26356615126132965,-0.48888474702835083,-0.07201437025004809,-0.178590536424085,0.05912634870987655,16,-0.12269099034778001,-0.05211972240725763
2966,leading_pc,fineweb-edu-sample,8,0.4513859748840332,-0.6482526659965515,-0.21177021317098088,-0.40818428266309326,0.10210916746855582,8,-0.3598369119141496,-0.17181568069481376
2966,leading_pc,wikimedia-en,8,0.0757463276386261,-0.32951682806015015,-0.005260507328352926,-0.07715798921587025,0.07161258968567394,8,-0.02575469166008323,0.01577764191220846
2966,learned,pooled,16,-0.05105976015329361,0.11902302503585815,-0.0015535624544628368,-0.01867790402811792,0.015903759003092408,16,-0.005934938714525356,0.0014308087418861415
2966,learned,fineweb-edu-sample,8,0.042788684368133545,0.02434849739074707,0.0020048506466086025,-0.008647215202217673,0.011003756891780899,8,-0.0013395683570330671,0.005782556627975666
2966,learned,wikimedia-en,8,-0.14490820467472076,0.21369755268096924,-0.028321367426600852,-0.07865110100008232,0.031517373936217036,8,-0.04880999018827746,-0.015404914109964918
2966,random_0,pooled,16,-0.17870310693979263,0.08114054799079895,-0.022238699930610804,-0.07723315443592531,0.02521788048945664,16,-0.03196170353702079,-0.0015614613467669568
2966,random_0,fineweb-edu-sample,8,-0.1232735812664032,0.05497783422470093,-0.026155952854989284,-0.09251794071754582,0.029800407631841434,8,-0.04142792794033433,0.002117951184472349
2966,random_0,wikimedia-en,8,-0.23413263261318207,0.10730326175689697,-0.008157552496348974,-0.07159331247529044,0.05928860156816096,8,-0.03147548007920759,0.009620389770777029
2966,random_1,pooled,16,0.1552049070596695,-0.20717643201351166,-0.02449904035195516,-0.07727352584569955,0.021650098397732354,16,-0.03151197017746873,-0.0065639239337870565
2966,random_1,fineweb-edu-sample,8,0.2824515104293823,-0.34703314304351807,-0.003167072049059527,-0.08362391466509855,0.060175998928269074,8,-0.01804909805740757,0.028170298506578564
2966,random_1,wikimedia-en,8,0.027958303689956665,-0.06731972098350525,-0.014482656546244144,-0.03856817784031463,0.006130971499929118,8,-0.020054412081368538,-0.005097803621694525
2966,random_2,pooled,16,0.2708779647946358,0.1567099243402481,-0.05948651332502233,-0.09180179015586333,-0.02889879206508656,16,-0.06564809527893785,-0.049520059135308575
2966,random_2,fineweb-edu-sample,8,0.44469907879829407,0.23939460515975952,-0.1626478080343774,-0.24332005329474882,-0.09103038561761317,8,-0.18503484191979241,-0.13069370249026355
2966,random_2,wikimedia-en,8,0.09705685079097748,0.0740252435207367,-0.009928722977461946,-0.026869066370449612,0.00655213721056923,8,-0.014407005805364137,-0.005434794085750126
2966,shuffled_labels,pooled,16,0.06310548633337021,-0.08862465620040894,-0.011225780775867694,-0.020793899668759483,-0.000831830057005521,16,-0.01406253650514458,-0.009212152307155655
