feature_id,source,n_low,n_high,encoder_decoder_cosine,shift_covariance_encoder_cosine,status,orthogonal_squared,total_squared,parallel_squared,p,null_mean,movable_fraction,tie_tolerance
863,fineweb-edu-sample,2023,642,0.6081069726714234,0.9907527728129334,ok,36169.88378031718,569125.2220748113,532955.3382944943,0.0232,34196.94403875311,0.06641651031894934,3.616988378031718e-06
863,wikimedia-en,1749,455,0.6081069726714234,0.9948021035692626,ok,35749.006948407674,850894.1341678547,815145.127219447,0.006,33478.26348039287,0.0794010889292196,3.5749006948407675e-06
1076,fineweb-edu-sample,257,2637,0.2670564928676377,0.8937078886783696,ok,70986088.63839601,330068040.61262804,259081951.97423214,0.0536,69852502.00835237,0.0024187975120939877,0.007098608863839602
1076,wikimedia-en,72,2760,0.2670564928676377,,insufficient_regime_support,,,,1.0,,,
1635,fineweb-edu-sample,1631,498,0.6989160924383556,0.404078054781303,ok,65190.31403839651,86194.1508785536,21003.83684015711,0.0124,60114.434668763446,0.09769844997651479,6.519031403839651e-06
1635,wikimedia-en,1622,556,0.6989160924383556,-0.38442964663000173,ok,328025.5014146625,467528.16013473785,139502.65872007524,0.0236,286618.917131428,0.07483930211202938,3.280255014146625e-05
1645,fineweb-edu-sample,1036,342,0.21565098820984085,0.6806046604125754,ok,275733.7605630923,890671.2917308667,614937.5311677741,0.0002,81344.98182208293,0.7525399129172714,2.7573376056309233e-05
1645,wikimedia-en,1472,1117,0.21565098820984085,0.8851382724576782,ok,358396.84109749703,2834911.252499824,2476514.4114023275,0.0002,70922.45946794425,0.8999613750482812,3.5839684109749705e-05
1844,fineweb-edu-sample,377,2651,0.20784303337733406,0.9224252635891217,ok,97232.01034281304,627626.2282045104,530394.2178616975,1.0,115705.11955588056,0.9184280052840158,9.723201034281304e-06
1844,wikimedia-en,748,2015,0.20784303337733406,0.9924549778051108,ok,221297.77590224706,10713706.190347353,10492408.414445106,0.0002,48711.560562149265,0.9410061527325371,2.2129777590224707e-05
