pc,evaluation_variance,reconstruction_mse,r_squared
340,20437.694405299884,5398.318116447294,0.7358646230150399
341,19989.623082704213,5406.95452764671,0.729511932002109
342,19761.33660561917,5203.537945918555,0.7366808708456026
343,20056.998272349836,5543.728631653193,0.723601280890787
344,20044.03870661902,5736.873874219884,0.7137865298411427
345,19353.718438109518,5053.194448099294,0.7389031743817757
346,19280.785766042547,5434.785074121359,0.7181242953441691
347,19188.55894457535,5473.150599291188,0.7147701077970495
348,18650.841795442877,5238.433222350716,0.7191315394873667
349,19878.272176563958,5426.965394257609,0.7269900851515716
350,19696.325263124854,5273.178458769807,0.7322760267042214
351,19680.640799800796,5680.755683619213,0.7113531138845482
352,19616.062731957103,5421.215432450522,0.7236338654434122
353,19609.541893872054,5324.533634985657,0.7284723088482978
354,19404.087040557897,5213.859167379171,0.7313009802274488
355,18832.55552162501,5463.367977137553,0.7098976837814662
356,19856.234477313876,5260.040010725058,0.7350937804076219
357,18833.803026079193,5422.656490545987,0.7120785173850854
358,20039.38822883377,5353.102083228362,0.732870982781499
359,18952.03709850447,5165.825078421625,0.7274263947684406
360,19097.370351718913,5246.498265864547,0.725276403544621
361,18937.540964125157,5404.946019288941,0.7145909265871453
362,18191.578933933077,5318.236845141403,0.7076539169878651
363,19724.804470569834,5248.777322889216,0.7338996525557151
364,19910.666209704104,5393.927847525889,0.7290935526357735
365,19014.601190544003,5151.05051548813,0.7291002601700762
366,18948.686598266675,5355.097718012156,0.7173895040038283
367,18965.16049514123,5370.096773426593,0.7168441166209807
368,18661.495638621745,5124.406491702827,0.7254021547395495
369,18673.889326112847,5374.468290768882,0.712193416330607
370,18828.31523089776,5170.0557595855025,0.7254106012044399
371,18488.5522169147,5227.752766169841,0.7172438001182643
372,18777.241123056214,5237.808135560837,0.7210555000473721
373,18862.37909812054,5210.348587786652,0.7237703387953953
374,18730.194070875954,5215.1769747627895,0.7215631106101565
375,18799.31487449629,5260.983746766558,0.7201502404801057
376,18726.64288146725,5353.433879875367,0.7141274112097598
377,18500.215140478067,5407.221819414469,0.7077211384648394
378,18420.429499077396,5306.971425820869,0.7118975197572526
379,18345.58134181301,5146.980127427559,0.7194430619815448
380,19238.60871558014,5228.626889910938,0.7282221928201803
381,18291.06119139516,5237.902825371493,0.7136359246430377
382,17782.216426207804,5251.073481146451,0.704700845199066
383,18644.313492650905,5157.700534503277,0.7233633441887626
384,18616.808490223055,5033.713291752641,0.7296145956275919
385,18176.705203234415,5318.791382933498,0.7073841863272856
386,17828.061132150444,5208.887828550644,0.707826454602114
387,18030.486026327533,5170.624946287835,0.7132287538595545
388,17854.705290656617,5287.321840484243,0.7038695540244451
389,18123.770251651324,5377.793828980469,0.7032740012531069
390,18341.263918531327,5288.077845272243,0.7116841091889329
391,17582.967425469793,5180.525360549792,0.7053668339824399
392,18217.719142513837,5112.337374980489,0.7193755521760095
393,18000.196154543926,5324.655983685548,0.7041890022769888
394,18192.2538272482,5143.493975251835,0.717270107151432
395,18036.198962455932,5436.94856990572,0.6985535266480899
396,17823.5410878727,4974.8162668223185,0.7208850787676963
397,18310.52211260937,5291.210394234751,0.7110289722109557
398,17954.002995720803,5219.389326374561,0.7092910518273523
399,17985.477936943702,5107.089473474398,0.7160437164150082
400,17538.595671000534,5056.108732596066,0.7117153033548651
401,17638.03725264714,5323.380398423579,0.6981874841190372
402,17714.26243846733,5019.5965618171085,0.716635305632775
403,18000.786582423207,5242.219695199778,0.7087782985928781
404,18022.799309729322,5298.063750382163,0.7060354687785884
405,17427.338207326895,5141.857933038108,0.704954487491593
406,18123.66435270149,5230.352743942035,0.7114075474939809
407,17841.28616343023,5048.895794833,0.7170105479737297
408,17653.70186413568,5085.320553624108,0.7119402722011992
