feature_id,source,n_low,n_high,documents_low,documents_high,assignment_rate,token_identity_p,token_identity_null_mean,token_identity_null_p95,token_identity_movable_fraction,js_ci_low,js_ci_high,js_bootstrap_se,js_bootstrap_bias,js_bootstrap_percentile_low,js_bootstrap_percentile_high,bootstrap_valid,null_excess,null_excess_kind,js_bits,neighbor_jaccard,shared_rank_spearman,shared_neighbors,cosine,conditional_l1,conditional_mass_change,status,partner_count
2241,wikimedia-en,1410,530,1410,530,1.0,0.0001,0.08046723843671252,0.0824509175645295,0.22628865979381443,0.08237202408652333,0.10240744475043154,0.005111076699976586,0.025774307960935328,0.10894233330642937,0.1284761648583074,1000,0.01192249598176491,token_identity,0.09238973441847743,0.48148148148148145,0.6813186813186813,13,0.8955922090850866,28.482670948748826,3.663348052990763,ok,2743
4714,fineweb-edu-sample,1915,1069,1915,1069,1.0,0.0001,0.0516648460588168,0.05227870702480837,0.04155495978552279,0.04855715777500932,0.057553559537209885,0.002295000449540961,0.022835389820606393,0.07159675602522117,0.08053928998735996,1000,0.001390512597292802,token_identity,0.0530553586561096,0.7391304347826086,0.8088235294117647,17,0.9452557937996756,21.50202697916845,2.866258453887994,ok,4576
4714,wikimedia-en,1899,920,1899,920,1.0,0.0001,0.0696512989026848,0.07044994296097587,0.0478893224547712,0.0656200238729676,0.07874435906365908,0.0033480446915029275,0.021943564680501182,0.08771014852529066,0.10084200016545011,1000,0.002530892565628537,token_identity,0.07218219146831334,0.6666666666666666,0.753495421062733,16,0.9322469872213466,25.927553975776725,3.4895934931428343,ok,4054
6629,fineweb-edu-sample,1540,492,1540,492,1.0,0.016,0.05979663949115463,0.060601739305176046,0.0344488188976378,0.054302253469334365,0.0673515005859316,0.0033288895705605214,0.031978487697495804,0.08669311895814888,0.09948190212212182,1000,0.001030237536478358,token_identity,0.06082687702763299,0.6,0.6541557571893262,15,0.9400857392390894,22.911054798859674,5.4279273571956494,ok,3354
6629,wikimedia-en,1568,478,1568,478,1.0,0.0001,0.07487337836361843,0.07640685626912122,0.050342130987292275,0.06937004231963889,0.08787931276782307,0.004721752665353107,0.029665837601732373,0.0994168845202874,0.11732462669575658,1000,0.0037512991801125495,token_identity,0.07862467754373098,0.6,0.9214285714285713,15,0.92228161342927,26.5530804371958,3.82923640167364,ok,3165
6846,fineweb-edu-sample,2018,427,2018,427,1.0,0.0035,0.051781688084657225,0.05310485152902832,0.14151329243353783,0.04672370535275514,0.06134327593430052,0.0037294822912105575,0.04442668451472466,0.09177190519663683,0.10629696131246488,1000,0.0022518025588706067,token_identity,0.05403349064352783,0.7391304347826086,0.9355434543601683,17,0.94727605663066,18.42090854441177,1.4770055449432817,ok,3867
6846,wikimedia-en,1664,222,1664,222,1.0,0.3939,0.08266114644032309,0.08521609190550798,0.0816542948038176,0.06906800922153591,0.09700560692931151,0.0071269381907590815,0.06071389071286995,0.13150735976981598,0.15945618749339857,1000,0.0003756616351006242,token_identity,0.08303680807542371,0.42857142857142855,0.9473742528603802,12,0.935684812304162,20.138448544698544,1.467104123354126,ok,2884
6903,fineweb-edu-sample,1152,194,1152,194,1.0,0.2724,0.07573884202234181,0.07738968338897155,0.04457652303120357,0.06052619163631111,0.09224256905393934,0.008090912606537815,0.0629885585324464,0.12452744585071873,0.15680103403706758,1000,0.0006455383227834122,token_identity,0.07638438034512522,0.48148148148148145,0.735539981108518,13,0.9114513491501522,17.067860466781216,-0.9503060567010309,ok,2082
6903,wikimedia-en,1194,143,1194,143,1.0,0.4857,0.09963102426481495,0.1030160360956884,0.02916978309648467,0.0792458761907852,0.12008911227478951,0.01041919287857253,0.0724635787799718,0.1540797160907786,0.19366431557950317,1000,3.646996797240787e-05,token_identity,0.09966749423278735,0.48148148148148145,0.8775799223697635,13,0.9161127404096593,20.315839102271262,-0.2422192547820643,ok,2101
7122,fineweb-edu-sample,1935,732,1935,732,1.0,0.0001,0.04221831513399988,0.043900844093931836,0.4289463817022872,0.05012931257364893,0.061737459737345596,0.0029612620315552737,0.027764986636404955,0.07803516905073639,0.08980827286192111,1000,0.013715071021497383,token_identity,0.05593338615549726,0.3793103448275862,0.7093840083598307,11,0.9255033826801543,21.53408099292583,3.902463252425129,ok,4013
