feature_id,source,binary_native_cosine,binary_native_orthogonal_cosine,decoder_low_neighbor_jaccard,decoder_high_neighbor_jaccard,decoder_neighbor_ids
11908,fineweb-edu-sample,0.9858149482986669,0.9916871816742944,0.0,0.05263157894736842,"[3272, 8753, 12462, 15401, 22034, 23600, 31750, 33839, 34870, 36117, 36832, 43855, 44732, 45987, 49735, 55933, 57525, 57678, 61329, 63243]"
11908,wikimedia-en,0.980422597790322,0.9885489945668471,0.02564102564102564,0.08108108108108109,"[3272, 8753, 12462, 15401, 22034, 23600, 31750, 33839, 34870, 36117, 36832, 43855, 44732, 45987, 49735, 55933, 57525, 57678, 61329, 63243]"
14064,fineweb-edu-sample,0.846495917450754,0.8344928998954129,0.02564102564102564,0.02564102564102564,"[3884, 4656, 4729, 6386, 6846, 6944, 8730, 10014, 10209, 10759, 13708, 14147, 14700, 15619, 18892, 21464, 26341, 26708, 36771, 37556]"
14064,wikimedia-en,0.7916982405986319,0.7646543880063935,0.02564102564102564,0.05263157894736842,"[3884, 4656, 4729, 6386, 6846, 6944, 8730, 10014, 10209, 10759, 13708, 14147, 14700, 15619, 18892, 21464, 26341, 26708, 36771, 37556]"
21515,fineweb-edu-sample,0.9773958655167003,0.977683017163607,0.0,0.0,"[4032, 5790, 8021, 8143, 8935, 9340, 9975, 10197, 10704, 11196, 11806, 12898, 13394, 14213, 20854, 22345, 23548, 34153, 49173, 52133]"
21515,wikimedia-en,0.909039891889819,0.9072034992985449,0.0,0.02564102564102564,"[4032, 5790, 8021, 8143, 8935, 9340, 9975, 10197, 10704, 11196, 11806, 12898, 13394, 14213, 20854, 22345, 23548, 34153, 49173, 52133]"
25249,fineweb-edu-sample,0.9824045936379802,0.9894862326627563,0.0,0.02564102564102564,"[4735, 6737, 9227, 9567, 10781, 13877, 19462, 19791, 26484, 27592, 28435, 30978, 31195, 35239, 35359, 49106, 50189, 53403, 57458, 64872]"
25249,wikimedia-en,0.9789991988420568,0.987984901154697,0.0,0.02564102564102564,"[4735, 6737, 9227, 9567, 10781, 13877, 19462, 19791, 26484, 27592, 28435, 30978, 31195, 35239, 35359, 49106, 50189, 53403, 57458, 64872]"
34492,fineweb-edu-sample,0.922226019052462,0.92118953744629,0.0,0.0,"[2536, 5132, 6491, 8730, 9024, 9636, 9839, 10285, 11643, 11933, 14743, 14959, 15150, 15280, 15286, 15602, 20801, 30135, 32300, 45155]"
34492,wikimedia-en,0.7684098625781787,0.7358497213159807,0.0,0.0,"[2536, 5132, 6491, 8730, 9024, 9636, 9839, 10285, 11643, 11933, 14743, 14959, 15150, 15280, 15286, 15602, 20801, 30135, 32300, 45155]"
