feature_id,source,level,n,activation_mean,pc1_mean,pc2_mean,pc3_mean,pc4_mean,pc5_mean,pc6_mean,pc7_mean,pc8_mean
3753,wikimedia-en,0,471,194.55185448389398,6018.784818045309,-149.86340405562635,-314.6834485072904,-178.5224406493174,72.35925209760585,43.83926881539874,-100.5771576009294,163.53780235195842
3753,wikimedia-en,1,410,239.30858697658633,5978.733962682277,-140.6218667116751,-332.5113297075692,-194.34302034040212,-10.747489416483392,54.26126331299704,-107.89322421044871,132.2534461057365
3753,wikimedia-en,2,305,309.7544648717661,5927.884933547315,-147.36228224653158,-341.4816219905076,-227.43021265235876,-45.14370323152785,68.48638418153442,-106.85135373027937,115.18276704128168
3753,wikimedia-en,3,187,451.767077440884,6079.3801670401435,-248.57648944410042,-354.00737875394674,-227.5480774269394,-47.37686463956015,39.232098596551,-69.92320760022666,160.52753699984493
4603,fineweb-edu-sample,0,238,281.7381909795168,-1126.598520013686,732.4189651517189,159.64597577723788,-110.48813243403359,191.4014966532151,103.14300978339305,132.9488727865877,218.97223374685873
4603,fineweb-edu-sample,1,176,336.88696670532227,-1907.9031093338388,681.8044336568356,182.30167148410916,-178.90224577279773,236.90530859994197,46.898143144230296,121.06687634737222,215.09933456631154
4603,fineweb-edu-sample,2,194,431.12839059731397,-772.7265502399623,750.449208728377,249.8996146558676,-138.88508469682972,236.04191177555748,97.42141579278712,115.70223699035223,174.95781902038428
4603,fineweb-edu-sample,3,155,959.8020637758317,-595.9505321644992,373.53993900787236,340.0997854334489,-61.38325808699836,445.44812115335577,94.7104079333103,195.15823409547673,7.501059102849272
4603,wikimedia-en,0,106,282.5019358508992,-42.12262302076805,144.61423826671137,-326.77787902876355,-184.76977792721547,171.81959994514787,257.5686194336914,-35.402100642470394,137.10716408565315
4603,wikimedia-en,1,68,339.8241271972656,1247.4714282630996,633.189730080097,-410.94011122039956,-219.2166909114646,175.98124223901445,265.84131280932445,-18.212234342430982,175.89910875947203
4603,wikimedia-en,2,60,428.7363291422526,1285.414098613265,336.17655588990044,-357.3529219702292,-232.80045618612908,226.6491986103761,206.94523645993056,-58.47305771689974,133.43972047904742
4603,wikimedia-en,3,47,823.0388742000499,1036.5880118206414,238.00092451133756,-170.74264679947342,-165.33180431253942,392.2532516811325,289.1116176848954,-44.15675418465344,52.81323695577248
4835,fineweb-edu-sample,0,406,256.6258564465152,-3484.8953776757494,405.53779333988405,363.4412811873814,210.4455446090208,114.50078774846318,52.37799071953317,45.502841618569285,48.30064674364337
4835,fineweb-edu-sample,1,359,292.7854479096394,-3811.473041984543,356.0646797769975,378.1988421034412,182.2538924567089,107.98484815284316,33.89438522586985,34.90999749448741,61.472079539086664
4835,fineweb-edu-sample,2,352,354.93018965287644,-4785.913215501918,424.0465226983751,409.07878137440645,91.1947437218465,86.20936686394077,65.16883339063762,42.98492365932807,30.27997397151125
4835,fineweb-edu-sample,3,267,636.482452049684,-4983.456474681216,620.2699177087396,367.08374133621163,54.19305221750305,75.33721458019572,61.707337570126015,80.26444764363943,68.89762173409103
4835,wikimedia-en,0,250,258.01898962402345,1176.475882019213,9.310510344636732,-233.49779890594104,30.794248066442353,-34.60360289258435,361.58481857043284,-102.79488530108547,-11.68093824644075
4835,wikimedia-en,1,214,290.8295735867224,-122.62818179130416,7.235825535217358,-148.5787657535005,75.80918189629313,77.8834280975465,247.08596464992706,-222.71922756285235,80.39037337093492
4835,wikimedia-en,2,149,356.1472858198537,-1725.1239684794834,205.5784223539421,-106.988643770428,-38.837588817415984,24.978461814319296,192.7987339613318,-251.67649625413264,142.27899939304112
4835,wikimedia-en,3,86,544.0342201410338,-2523.0863969077245,250.27455834577225,-48.841537279207564,-169.0573471079128,87.9358841116838,209.4184523298362,-175.08782778520774,161.67933545746553
5634,fineweb-edu-sample,0,341,275.3647582649835,-3876.438127691972,416.9303882013547,623.4980081572777,-317.19339300074625,496.7605839852734,76.96576061750778,39.69869198559953,-217.4640674582472
5634,fineweb-edu-sample,1,315,322.1373025561136,-3962.782814880178,413.73647541669544,644.9568682300609,-340.1118611104823,571.0327826444968,21.020556446941583,-16.933699920413105,-195.09987324685937
