n_low,n_high,documents_low,documents_high,assignment_rate,document_p,document_null_mean,document_null_p95,document_movable_fraction,token_identity_p,token_identity_null_mean,token_identity_null_p95,token_identity_movable_fraction,js_ci_low,js_ci_high,js_bootstrap_se,js_bootstrap_bias,js_bootstrap_percentile_low,js_bootstrap_percentile_high,bootstrap_valid,null_excess,null_excess_kind,js_bits,neighbor_jaccard,shared_rank_spearman,shared_neighbors,cosine,conditional_l1,conditional_mass_change,status,partner_count,feature_id,candidate_id,role,discovery_delta_bic,document_q_bh,document_q_by,token_identity_q_bh,token_identity_q_by
19314,11602,4941,3553,0.6940085752126967,0.0001,0.020243969059967178,0.020532959027987317,0.1746668391771251,0.0001,0.02125538354783565,0.02149520639093985,0.1495018760512356,0.024345651681570355,0.026898848056998163,0.0006513256059764818,0.005134006792784765,0.02947237657200758,0.03205077293453069,1000,0.005378280809317081,document,0.02562224986928426,0.6,0.7,15,0.9618175384644916,19.67554562450508,2.9917463695319952,ok,12435,3136,3136,candidate,15015.111786666945,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
29680,18310,2358,1143,0.6507206877381388,0.0001,0.015706323259203934,0.01595575746417287,0.49581162742237966,0.0001,0.01454570871582532,0.014793415906824543,0.49283183996665975,0.028053586227445852,0.031342805679653946,0.0008390865949510451,0.005123341995084001,0.03330519641794413,0.036511835073855047,1000,0.013991872694345965,document,0.0296981959535499,0.5384615384615384,0.8272832288794485,14,0.9659008013412238,19.109238964023312,1.8742851291253828,ok,11583,710,710,candidate,14180.441251300064,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
21077,12393,3357,1774,0.6773795308736921,0.0001,0.025829005462888553,0.026272069564146874,0.3841948013146101,0.0001,0.02995325185732838,0.030350098132001645,0.43447863758589783,0.04148881758351177,0.04617372550743804,0.0011951295724301723,0.005597849616534346,0.04722546225814612,0.05198206148736093,1000,0.018002266082586354,document,0.043831271545474906,0.3793103448275862,0.9181818181818183,11,0.9371151755218279,22.847138763114245,0.8230982139505016,ok,11069,8532,8532,candidate,13942.849044190883,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
23192,12596,5435,4092,0.7683125805066552,0.0001,0.08502975515701863,0.08601573003526546,0.13881748071979436,0.0001,0.09096927461980245,0.09162643672040419,0.1787750083826981,0.10253968796188499,0.11085607391569734,0.0021215270290337635,0.005256388081159885,0.1078697335384792,0.11645070801767146,1000,0.021668125781772532,document,0.10669788093879116,0.17647058823529413,0.5428571428571429,6,0.7642740794011232,41.42033141321495,-5.060246393588926,ok,12836,28027,28027,candidate,13722.33120178969,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
30866,18631,4530,2878,0.6593182635568047,0.0001,0.02364875215706661,0.023967516853552376,0.3478392629856355,0.0001,0.026268608986671566,0.026563609301582837,0.3160999656544841,0.03775335480981329,0.04151469901555599,0.0009595265830976268,0.0038828361952542093,0.04173724875109944,0.04548258609519478,1000,0.01598527475561803,document,0.03963402691268464,0.42857142857142855,0.4755244755244756,12,0.9261658489320116,22.031366757457302,1.974670385030187,ok,11477,1892,1892,candidate,13157.995928488046,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
55232,52126,2999,1874,0.6567443567627087,0.0001,0.01592310127733411,0.016075950336865093,0.5374913839676596,0.0001,0.015226223649799472,0.015394251735309662,0.5336164980718717,0.031794864507542014,0.03464259089017603,0.0007264608118964318,0.0025804016640974675,0.0344128144074366,0.037264226049483824,1000,0.017295626421524914,document,0.03321872769885902,0.7391304347826086,0.625,17,0.9545327431516496,20.170004477407424,1.7204988083958526,ok,13065,72,72,candidate,12996.407781377173,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
9527,3240,4157,1931,0.8652073732718893,0.0001,0.203785520613861,0.20621613545484516,0.05138247043158142,0.001,0.22330411300092562,0.22401157209891612,0.06532466515234589,0.21474324880570028,0.23466329770334537,0.005081645126950278,0.013018154857435793,0.22745745248079227,0.24764218110960878,1000,0.02091775264066184,document,0.22470327325452283,0.08108108108108109,-0.5,3,0.4788810161946781,57.744396691923015,-11.481152526866467,ok,9452,35053,35053,candidate,12849.872935649382,0.0001,0.0003775958177753507,0.001,0.0037759581777535066
55899,53805,5614,5177,0.6602469967981897,0.0001,0.019605163641109893,0.019828355586612546,0.4354353533143732,0.0001,0.029864780737394188,0.030038834526079892,0.3431871217093269,0.04067102083524484,0.04216640106789072,0.00038147454914435626,0.0013777267876857804,0.0419975683067551,0.043527556507183617,1000,0.021813547310457888,document,0.04141871095156778,0.6,0.7749999999999999,15,0.9483323566570837,24.327178711786395,-1.8318959959810002,ok,13458,665,665,candidate,12764.959833441477,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
25587,14400,2425,1083,0.6478565179352581,0.0001,0.016677338162640092,0.01694466779270079,0.47685497786780706,0.0001,0.015028467799994082,0.015390401785821193,0.6041713556905994,0.032782476248201714,0.03784368538784649,0.001291124780521627,0.006000854245915108,0.03889399191382623,0.044020479134971174,1000,0.01863574265538401,document,0.035313080818024103,0.6,0.37499999999999994,15,0.9407548632177227,19.271427897955995,0.2793940526439229,ok,10988,1903,1903,candidate,12708.000957451115,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
32684,25130,3416,1422,0.6696705740629199,0.0001,0.05056390196472227,0.051171648967442245,0.5306500155671636,0.0001,0.058894912161963915,0.059373752858990866,0.6445324661846612,0.10662207037921437,0.11292232467037544,0.0016072077273370097,0.0037081117981484224,0.11038225845298535,0.11675354920253195,1000,0.059208295560072635,document,0.1097721975247949,0.42857142857142855,0.5874125874125874,12,0.871974513986188,32.638208039526006,-1.6796263444286197,ok,10729,2377,2377,candidate,12572.837012194737,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
