feature_id,text_id,duplicate_group,source,split,direction,fraction_small,energy_small,odd_fraction_small,k_digit_small,k_word_small,native_k_digit_small,native_k_word_small,fraction_large,energy_large,odd_fraction_large,k_digit_large,k_word_large,native_k_digit_large,native_k_word_large,relative_discrepancy
2966,6181,6181,wikimedia-en,check,learned,0.005,1.964576767932158e-08,0.9952924088283972,0.09965896606445312,0.2613067626953125,2.3436675044556513e-08,6.145118624122952e-08,0.01,7.612288754899055e-08,0.9826713302587875,0.09799003601074219,0.25534629821777344,2.3044194840461067e-08,6.004947122660292e-08,0.022379082567330143
2966,6181,6181,wikimedia-en,check,random_0,0.005,2.6336238079238683e-08,0.9980660980073903,0.324249267578125,0.0019073486328125,7.625329679568626e-08,4.485488046805074e-10,0.01,1.0491885404917412e-07,0.9962530177401948,0.32329559326171875,0.002384185791015625,7.6029022393346e-08,5.606860058506342e-10,0.0032931049338458377
2966,6181,6181,wikimedia-en,check,random_1,0.005,6.743903213646263e-09,0.9883007417397168,0.16021728515625,0.03147125244140625,3.767809959316263e-08,7.4010552772283735e-09,0.01,2.8749582270393148e-08,0.9532315211717626,0.1628398895263672,0.029802322387695312,3.829485419959832e-08,7.008575073132928e-09,0.01890739308693357
2966,6181,6181,wikimedia-en,check,random_2,0.005,4.76688910566736e-09,0.9659551633675173,-0.12350082397460938,0.05626678466796875,-2.9043535103062855e-08,1.3232189738074968e-08,0.01,2.090291673084721e-08,0.899501805682461,-0.12302398681640625,0.060558319091796875,-2.8931397901892727e-08,1.424142454860611e-08,0.03165235368432386
2966,6181,6181,wikimedia-en,check,approx_spectrum_matched,0.005,8.345546120835934e-08,0.9981888944286879,-0.5016326904296875,-0.2856254577636719,-1.1796833563097345e-07,-6.717018350090598e-08,0.01,3.277823452663142e-07,0.9925849853149482,-0.48995018005371094,-0.29206275939941406,-1.1522097420230534e-07,-6.868403571670269e-08,0.02324525599998155
2966,6181,6181,wikimedia-en,check,leading_pc,0.005,1.518628778285347e-09,0.8251609522383591,0.03147125244140625,-0.06341934204101562,7.401055277228372e-09,-1.4914247755626872e-08,0.01,1.0317762644262984e-08,0.4894993168495747,0.027418136596679688,-0.06556510925292969,6.447889067282294e-09,-1.5418865160892443e-08,0.06465367306339881
2966,6181,6181,wikimedia-en,check,shuffled_labels,0.005,6.823256626375951e-09,0.9817471425239095,-0.12683868408203125,-0.10347366333007812,-2.982849551125375e-08,-2.433377265391753e-08,0.01,2.880096872104332e-08,0.9513097230555467,-0.13375282287597656,-0.09751319885253906,-3.1454484928220586e-08,-2.2932057639290945e-08,0.055456856419494896
1645,6182,6182,wikimedia-en,fit,learned,0.005,1.4356777455759584e-07,0.859450914232297,-0.4482269287109375,-0.5409717559814453,-2.2839972599360248e-08,-2.7565903099972555e-08,0.01,8.640101896162378e-07,0.6228679035052239,-0.2543926239013672,-0.6880760192871094,-1.2962899342296485e-08,-3.5061787724337076e-08,0.3388736995711438
1645,6182,6182,wikimedia-en,fit,random_0,0.005,1.0847887779164012e-06,0.9982703921848713,-1.0597705841064453,1.791238784790039,-5.40019564915725e-08,9.127484794627316e-08,0.01,4.344669605416129e-06,0.9941134065474677,-1.057267189025879,1.7892122268676758,-5.387439281482076e-08,9.117158211271224e-08,0.0015486736262309338
1645,6182,6182,wikimedia-en,fit,random_1,0.005,9.827897429204313e-07,0.9898350841150253,1.7349720001220703,-0.9386539459228516,8.840770244975772e-08,-4.783030432110707e-08,0.01,3.96767910615381e-06,0.9605503456733309,1.7082691192626953,-0.944972038269043,8.704702323107244e-08,-4.81522507433853e-08,0.013982849241528043
